,X,Y,Z
0,,,
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,,,
18,,,
19,,,15.0
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,156.247,42.624,0.3
31,,,
32,,,
33,156.525,41.885,
34,156.877,41.178,
35,157.298,40.51,
36,157.784,39.888,
37,158.332,39.319,
38,158.933,38.807,
39,159.584,38.36,
40,160.276,37.98,
41,161.003,37.672,
42,161.758,37.439,
43,162.532,37.284,
44,163.676,37.2,
45,166.148,37.2,
46,166.937,37.24,
47,167.717,37.359,
48,168.482,37.557,
49,169.222,37.831,
50,169.931,38.179,
51,170.602,38.597,
52,171.226,39.08,
53,171.799,39.623,
54,172.314,40.222,
55,172.765,40.87,
56,173.149,41.561,
57,173.461,42.286,
58,173.698,43.039,
59,173.857,43.813,
60,173.948,44.97,
61,173.953,46.367,
62,173.946,47.546,
63,173.901,48.335,
64,173.777,49.115,
65,173.575,49.878,
66,173.296,50.617,
67,172.944,51.324,
68,172.523,51.992,
69,172.036,52.613,
70,171.489,53.183,
71,170.887,53.694,
72,170.236,54.141,
73,169.544,54.521,
74,168.817,54.829,
75,168.26,55,
76,168.48,55.057,
77,169.22,55.331,
78,169.929,55.679,
79,170.6,56.097,
80,171.224,56.58,
81,171.797,57.123,
82,172.312,57.722,
83,172.763,58.37,
84,173.147,59.061,
85,173.459,59.786,
86,173.696,60.539,
87,173.855,61.313,
88,173.946,62.479,
89,173.966,69.933,
90,173.96,71.899,
91,173.967,74.103,
92,173.966,81.513,
93,173.944,82.658,
94,173.888,83.446,
95,173.753,84.224,
96,173.54,84.984,
97,173.251,85.719,
98,172.889,86.421,
99,172.458,87.082,
100,171.962,87.697,
101,171.407,88.259,
102,170.798,88.761,
103,170.141,89.199,
104,169.443,89.569,
105,168.711,89.866,
106,168.256,89.999,
107,168.48,90.057,
108,169.22,90.331,
109,169.929,90.679,
110,170.6,91.097,
111,171.224,91.58,
112,171.797,92.123,
113,172.312,92.722,
114,172.763,93.37,
115,173.147,94.061,
116,173.459,94.786,
117,173.696,95.539,
118,173.855,96.313,
119,173.946,97.46,
120,173.952,98.702,
121,173.948,100.024,
122,173.906,100.812,
123,173.784,101.592,
124,173.584,102.356,
125,173.307,103.096,
126,172.958,103.804,
127,172.538,104.473,
128,172.053,105.096,
129,171.507,105.667,
130,170.907,106.18,
131,170.258,106.63,
132,169.566,107.011,
133,168.84,107.321,
134,168.086,107.555,
135,167.312,107.713,
136,166.148,107.8,
137,163.676,107.8,
138,162.887,107.76,
139,162.107,107.641,
140,161.342,107.443,
141,160.602,107.169,
142,159.893,106.821,
143,159.222,106.403,
144,158.598,105.92,
145,158.025,105.377,
146,157.51,104.778,
